"","species","model","method","lambda","lambda.lower","lambda.upper"
"1","BEMA","BH_3","optim_L-BFGS-B",505.518997430492,NA,NA
"2","CETE","BH_3","optim_L-BFGS-B",0,0,0
"3","CHFU","BH_3","optim_L-BFGS-B",0,0,0
"4","CHMI","BH_3","optim_L-BFGS-B",0,0,0
"5","FRPU","BH_3","optim_L-BFGS-B",0,0,0
"6","HOMA","BH_3","optim_L-BFGS-B",0,0,0
"7","LEMA","BH_3","optim_L-BFGS-B",0,0,0
"8","LYTR","BH_3","optim_L-BFGS-B",0,0,0
"9","MEEL","BH_3","optim_L-BFGS-B",0,0,0
"10","MESU","BH_3","optim_L-BFGS-B",0,0,0
"11","PAIN","BH_3","optim_L-BFGS-B",0,0,0
"12","PLCO","BH_3","optim_L-BFGS-B",0,0,0
"13","POMA","BH_3","optim_L-BFGS-B",0,0,0
"14","POMO","BH_3","optim_L-BFGS-B",0,0,0
"15","PUPA","BH_3","optim_L-BFGS-B",0,0,0
"16","SASO","BH_3","optim_L-BFGS-B",0,0,0
"17","SCLA","BH_3","optim_L-BFGS-B",587.05092608235,NA,NA
"18","SOAS","BH_3","optim_L-BFGS-B",166.07917533288,NA,NA
"19","SPRU","BH_3","optim_L-BFGS-B",0,0,0
"20","SUES","BH_3","optim_L-BFGS-B",0,0,0
"21","SUSP","BH_3","optim_L-BFGS-B",0,0,0
"22","BEMA","BH_4","optim_L-BFGS-B",504.56723115835,NA,NA
"23","CETE","BH_4","optim_L-BFGS-B",0,0,0
"24","CHFU","BH_4","optim_L-BFGS-B",0,0,0
"25","CHMI","BH_4","optim_L-BFGS-B",0,0,0
"26","FRPU","BH_4","optim_L-BFGS-B",0,0,0
"27","HOMA","BH_4","optim_L-BFGS-B",0,0,0
"28","LEMA","BH_4","optim_L-BFGS-B",0,0,0
"29","LYTR","BH_4","optim_L-BFGS-B",0,0,0
"30","MEEL","BH_4","optim_L-BFGS-B",0,0,0
"31","MESU","BH_4","optim_L-BFGS-B",0,0,0
"32","PAIN","BH_4","optim_L-BFGS-B",0,0,0
"33","PLCO","BH_4","optim_L-BFGS-B",0,0,0
"34","POMA","BH_4","optim_L-BFGS-B",0,0,0
"35","POMO","BH_4","optim_L-BFGS-B",0,0,0
"36","PUPA","BH_4","optim_L-BFGS-B",0,0,0
"37","SASO","BH_4","optim_L-BFGS-B",0,0,0
"38","SCLA","BH_4","optim_L-BFGS-B",585.858958562342,NA,NA
"39","SOAS","BH_4","optim_L-BFGS-B",166.091148604348,NA,NA
"40","SPRU","BH_4","optim_L-BFGS-B",0,0,0
"41","SUES","BH_4","optim_L-BFGS-B",0,0,0
"42","SUSP","BH_4","optim_L-BFGS-B",0,0,0
