species;lambda;lambda.lower.error;lambda.upper.error;effect.par;effect.lower.error;effect.upper.error;response.par;response.lower.error;response.upper.error;sigma;log.likelihood;optim.method
BEMA;69.92124021616648;NA;NA;0.9409615349189892;0.82396091950206;1.0579621503359182;1.1344408564457222;0.82396091950206;1.0579621503359182;0.9335590847569551;210428.27172327798;optim_NM
CETE;256.2439886099899;NA;NA;1.019141584354416;0.920587741805413;1.1176954269034192;0.9884911199317614;0.920587741805413;1.1176954269034192;0.9335590847569551;210428.27172327798;optim_NM
CHFU;190.11949804977957;NA;NA;1.015010833896087;0.917077465651114;1.11294420214106;0.9939472257091819;0.917077465651114;1.11294420214106;0.9335590847569551;210428.27172327798;optim_NM
CHMI;2583.8796911161608;NA;NA;1.0955812789512838;1.0245024832982257;1.1666600746043418;1.0243389975686827;1.0245024832982257;1.1666600746043418;0.9335590847569551;210428.27172327798;optim_NM
FRPU;61.65141402745605;NA;NA;0.906775707419698;0.8033367393984743;1.0102146754409218;0.9911947642791263;0.8033367393984743;1.0102146754409218;0.9335590847569551;210428.27172327798;optim_NM
HOMA;19.830864743504108;NA;NA;0.9585665194462696;0.8394965961584501;1.077636442734089;0.9557243498666538;0.8394965961584501;1.077636442734089;0.9335590847569551;210428.27172327798;optim_NM
LEMA;96.61622382546099;NA;NA;0.9231842180907486;0.8115166967219382;1.034851739459559;0.9690869759840492;0.8115166967219382;1.034851739459559;0.9335590847569551;210428.27172327798;optim_NM
LYTR;38901320.97128553;NA;NA;1.0224327993537492;0.9856060509887864;1.059259547718712;1.0176540616537169;0.9856060509887864;1.059259547718712;0.9335590847569551;210428.27172327798;optim_NM
MEEL;28.821712880733504;NA;NA;1.0156667063727585;0.9044215340585736;1.1269118786869434;0.9796631649950762;0.9044215340585736;1.1269118786869434;0.9335590847569551;210428.27172327798;optim_NM
MESU;168.0806345152415;NA;NA;0.8708060461555395;0.7736235314419827;0.9679885608690962;0.9980671807545719;0.7736235314419827;0.9679885608690962;0.9335590847569551;210428.27172327798;optim_NM
PAIN;33.10346884769035;NA;NA;1.0207265303094868;0.9142658188894548;1.1271872417295188;0.900884946070729;0.9142658188894548;1.1271872417295188;0.9335590847569551;210428.27172327798;optim_NM
PLCO;42.8005516951468;NA;NA;1.091230431914877;0.992166263670264;1.1902946001594898;0.9227971434560639;0.992166263670264;1.1902946001594898;0.9335590847569551;210428.27172327798;optim_NM
POMA;77.9834208324158;NA;NA;0.9766630429639631;0.8888398991108932;1.064486186817033;0.9749325080816346;0.8888398991108932;1.064486186817033;0.9335590847569551;210428.27172327798;optim_NM
POMO;74.35509641480641;NA;NA;1.0012628110429536;0.9175348977757177;1.0849907243101895;1.0164435071558298;0.9175348977757177;1.0849907243101895;0.9335590847569551;210428.27172327798;optim_NM
PUPA;749.6857872916856;NA;NA;0.9850010737291913;0.9142445249379736;1.055757622520409;0.9814541688461988;0.9142445249379736;1.055757622520409;0.9335590847569551;210428.27172327798;optim_NM
SASO;57.72169254563845;NA;NA;0.9814252164145009;0.8970412976161509;1.065809135212851;0.9622705251038779;0.8970412976161509;1.065809135212851;0.9335590847569551;210428.27172327798;optim_NM
SCLA;46.94798987206006;NA;NA;1.0173095847230438;0.9414522334212525;1.093166936024835;0.9731788779763575;0.9414522334212525;1.093166936024835;0.9335590847569551;210428.27172327798;optim_NM
SOAS;140.36804458467927;NA;NA;1.0192493617734986;0.9427000914608152;1.095798632086182;1.021238664914303;0.9427000914608152;1.095798632086182;0.9335590847569551;210428.27172327798;optim_NM
SPRU;611.862520474435;NA;NA;1.0182252471572995;0.9564743750023679;1.079976119312231;1.0199991557308303;0.9564743750023679;1.079976119312231;0.9335590847569551;210428.27172327798;optim_NM
SUES;6.4960230399614485;NA;NA;1.018185279635848;0.964193078299748;1.0721774809719478;0.9995044293374853;0.964193078299748;1.0721774809719478;0.9335590847569551;210428.27172327798;optim_NM
SUSP;132.06553490331325;NA;NA;0.9954543096491295;0.9419048447423741;1.049003774555885;1.0145005562087082;0.9419048447423741;1.049003774555885;0.9335590847569551;210428.27172327798;optim_NM
